ratio_method,ratio_value,IR_original,clf_name,resampling_method,time_ratio,time_sampling,time_model,time_total
HARS,0.3,0.05,DT,ROS,7.33360433578491,0.000738859176635742,0.00624561309814453,7.34144568443298
HARS,0.3,0.05,KNN,ROS,5.60456156730652,0.000751972198486328,0.0799508094787598,5.68600296974182
HARS,0.3,0.05,LR,ROS,5.60858225822449,0.000737428665161133,0.00674057006835938,5.61681032180786
HARS,0.3,0.05,svmrbf,ROS,5.69384479522705,0.000754117965698242,0.0939695835113525,5.78931879997253
HARS,0.3,0.05,svmlinear,ROS,5.63272619247437,0.000735759735107422,0.0673646926879883,5.70163226127625
HARS,0.3,0.05,RF,ROS,5.68812966346741,0.000736713409423828,0.145206928253174,5.83486127853394
HARS,0.3,0.05,MLP,ROS,5.6250422000885,0.000744104385375977,0.223912477493286,5.85047507286072
HARS,0.3,0.05,XGB,ROS,5.68990516662598,0.000745296478271484,0.0633394718170166,5.75528287887573
HARS,0.5,0.05,DT,RUS,2.49068474769592,0.000636100769042969,0.00372624397277832,2.49613547325134
HARS,0.5,0.05,KNN,RUS,2.44426965713501,0.00062870979309082,0.0363185405731201,2.48197054862976
HARS,0.5,0.05,LR,RUS,2.47387099266052,0.000620603561401367,0.00485348701477051,2.48011469841003
HARS,0.5,0.05,svmrbf,RUS,2.49857568740845,0.000631570816040039,0.00846719741821289,2.50842237472534
HARS,0.5,0.05,svmlinear,RUS,2.51323843002319,0.000655412673950195,0.00596046447753906,2.52060198783875
HARS,0.5,0.05,RF,RUS,2.44899225234985,0.000641345977783203,0.0744411945343018,2.52483201026916
HARS,0.5,0.05,MLP,RUS,2.4754421710968,0.000625133514404297,0.0288097858428955,2.50562596321106
HARS,0.5,0.05,XGB,RUS,2.69851684570312,0.000726938247680664,0.0304644107818604,2.73097658157349
HARS,0.3,0.05,DT,ADASYN,6.38433313369751,0.00228333473205566,0.00674700736999512,6.3946053981781
HARS,0.3,0.05,KNN,ADASYN,6.36018252372742,0.00230598449707031,0.0952563285827637,6.45860123634338
HARS,0.3,0.05,LR,ADASYN,6.44249629974365,0.002288818359375,0.00687432289123535,6.45253396034241
HARS,0.3,0.05,svmrbf,ADASYN,6.42151141166687,0.00233364105224609,0.114209651947021,6.53894734382629
HARS,0.3,0.05,svmlinear,ADASYN,6.40070605278015,0.00232219696044922,0.0789120197296143,6.48285007476807
HARS,0.3,0.05,RF,ADASYN,6.3462507724762,0.00230646133422852,0.172791242599487,6.52230787277222
HARS,0.3,0.05,MLP,ADASYN,6.46336889266968,0.0021822452545166,0.140253305435181,6.60667395591736
HARS,0.3,0.05,XGB,ADASYN,6.5210587978363,0.00226855278015137,0.0755147933959961,6.60060453414917
HARS,0.5,0.05,DT,ClusterCentroids,9.42132163047791,0.368414163589478,0.00572586059570313,9.79667782783508
HARS,0.5,0.05,KNN,ClusterCentroids,9.1520094871521,0.381762027740479,0.0477101802825928,9.58273029327393
HARS,0.5,0.05,LR,ClusterCentroids,9.31168866157532,0.394161462783813,0.00726008415222168,9.71405673027039
HARS,0.5,0.05,svmrbf,ClusterCentroids,8.5905327796936,0.327404022216797,0.0127217769622803,8.9319179058075
HARS,0.5,0.05,svmlinear,ClusterCentroids,8.23952150344849,0.340941667556763,0.00885343551635742,8.59017539024353
